Arson
Assault
Bank Robbery
Blackmail
Bootlegging
Border Hopping
Breaking & Entering
Bribery
Buying Drugs
Credit Card Fraud
Death Threat
Defamation
Drug Smuggling
Drunk Driving
Embezzlement
Evidence Tampering
Extortion
Forgery
Fraud
Grand Theft Auto
Hacking
Harassment
Heists
Hijacking
Hit and Run
Identity Theft
Illegal Immigration
Illegally Parking
Impersonation
Jaywalking
Kidnapping
Loitering
Making Drugs
Manslaughter
Matricide
Mugging
Murder
Mutiny
Obscene Phone Call
Patricide
Pickpocketing
Piracy
Possessing Drugs
Prostitution
Public Intoxication
Public Nudity
Random
Ransacking
Regicide
Resisting Arrest
Selling Drugs
Shoplifting
Slander
Smuggling
Solicitation
Stalking
﻿Stealing
Tampering
Thievery
Timeshare Scam
Torture
Train Robbery
Treason
Trespassing
Vandalism
