Action
Advice Program
Alien Invasion
Animal Documentary
Animal Movie
Animal Planet
Anime
Arthouse
Biographical
Bollywood
Buddy Cop
Cartoon
Comedy
Comic Book
Coming of age
Conspiracy Theory
Cooking Show
Court TV
Debate
Disaster Documentary
Disney
Doomsday
Epic Fantasy
Exploration
Fairy Tale
Greek Tragedy
Guerrilla
High Fantasy
Historical
Horror
Infomercials
Inspirational
Kids Movie
Kids Science Show
Kung Fu
Low Fantasy
Magician
Medical Drama
Morning Show
Musical
Musical Theatre
Mystery
News
Noir
Pixar
Poetry
Political
Post Apocalyptic
Propaganda
Puppet Theatre
Reality Show
Rock Opera
Romance
Romantic Comedy
Samurai
Science Fiction
Science Show
Shakespearian
Slam Poetry
Slapstick
Slasher
Snuff
Sports
Telethon
Televangelist
﻿Thriller
Tragedy
Travel
Unnecessary Remake
Weather
Who Done It
World War
Zombie
