Abominable snowman
Accountant
Angel
Angel
Animal breeder
Animal handler
Animal lover
Architect
Astronaut
Athlete
Attention seeker
Auctioneer
Baker
Bank teller
Banker
Banshee
Barista
Baseball player
Basilisk
Basketball player
Bass player
Beast
Beautician
Bee keeper
Behemoth
Biker chick
Biologist
Blacksmith
Bodybuilder
Bogey man
Bouncer
Bowler
Boxer
Bricklayer
Brute
Burglar
Bus driver
Butcher
Butler
Cameraman
Candlestick maker
Captain in the Army
Captain of a ship
Cartoon character
Cat burglar
Centaur
Cerberus
Changeling
Charlatan magician
Chemist
Cherub
Child
Chimera
Chimney sweep
Circus performer
Clown
Colossus
comedian
Composer
Conductor
Construction worker
Correctional officer
Courier
Cowboy
crane operator
Cricket player
Crone
Current boy band member
Cyborg
Cyclops
Dairy farmer
Dancer
delivery
Demigod
Demon
Demon
Dentist
Devil
Djinn
Dock worker
Doctor
Dog breeder
dog trainer
Double agent
Dragon
Drug dealer
Drummer
Dryad
Duelist
Elf
Emt
Engineer
Exterminator
Fairy
Farmer
Fast food worker
fast order cook
Father
Fencer
Fiend
Film animal trainer
Fire-breathing dragon
Firefighter
Fisherman
Football player
Former boy band member
Franchise owner
Frankenstein
Frankenstein’s monster
Freak
Gambler
Gangsta
Gangster
gardener
Gargoyle
General
Genie
Ghost
Ghoul
Giant
Gnome
Goblin
God
Godzilla
Golum
Gorgon
Grim reaper
Guitarist
gym bunny
Gym rat
Gym owner
Gymnast
Hag
Harpy
Helicopter pilot
Herbalist
Hiker
Hippie
Hitman
Hockey player
Homeless
Horror
Housewife
Hr manager
Hunter
Hydra
Hypochondriac
Ice cream vendor
Imp
Interior designer
Interpreter
Inventor
Janitor
Jinn
Judge
Juggler
Kelpie
King kong
Kleptomaniac
Knight
Kung fu fighter
Laborer
Lake spirit
Lawn bowler
Lawyer
Leprechaun
Leviathan
Librarian
Lifeguard
Loch ness monster
Lord
Mafioso
Maid
Mailman
Manager
Masseuse
Matador
Medusa
Mermaid
Merman
Metalhead
Milkman
MMA fighter
Mob boss
Model
Monster
Mortician
Mother
Motivational speaker
Motorcycle gang member
Movie star
Mugger
Mummy
Musician
Navigator
Nessie
Ninja
Ninja
Nudist
Nun
Nurse
Nutritionist
Nymph
Ogre
Oligarch
Olympian
Orc
pediatrician
Peasant
Pegasus
Personal trainer
Petty thief
Pharmacist
Phoenix
Photographer
piano player
Pickpocket
Pilot
Pirate
Plumber
Poet
Poker player
Police officer
Polyphemus
Pop idol
Preacher
Priest
Prince
Princess
Prison snitch
Prison warden
Prisoner
Pro wrestler
Puppeteer
Rain bird
Raven spirit
Real estate agent
Recruiter
referee
Rock star
Rollerblader
Roofer
Rugby player
Rugby player
Ryu
Salesperson
Savage
Schizophrenic
school bus driver
Screenwriter
Sea monster
Secret agent
Secretary
Security guard
Shapeshifter
Shepherd
Shoe repair man
Shoemaker
Singer
Siren
Skateboarder
Skier
Snooker player
Snowboarder
Social media icon
Soldier
Spirit
Sports coach
Sprite
Spy
Stay at home dad
Store clerk
Streamer
Stripper
Struggling actor
Student
Suicide bomber
Sumo wrestler
Super hero
Super villain
Supermarket checkout person
Swamp monster
Tap dancer
Taxi driver
Teacher
Teen heartthrob
Telemarketer
Thug
Titan
Tour guide
Train driver
Treasure hunter
tree trimmer
Tree nymph
Troll
Tv host
Typist
Undead
Undercover police officer
Unemployed person
Unicorn
University student
﻿Vampire
Vampire
Veterinarian
Warlord
Watchmaker
Werewolf
Werewolf
Witch
Witch
Wizard
Wretch
Writer
Yeti
Yeti
Youtuber
Zombie
Zoo keeper
