Archery
Baking Cookies
Bowling
Brushing your Teeth
Building a Fire
Chopping Wood
Cleaning Kitty Litter
Cleaning the Fish Tank
Climbing a Rock
Climbing a Tree
Cooking
Decorating for a Birthday Party
Embroidery/Cross-Stitch
Filing your Nails
Fishing
Fixing a Bike
Fixing a Car
Fixing a Laptop
Fixing a Radio
Fixing a RC Car
Fixing a Scooter
Flying a Kite
Kneading Dough
Knitting
Making a Sculpture
Making a Snow-Fort
Making a Snowman
Making Balloon Animals
Making Kimchi
Making Paper Airplanes
Mopping
Painting
﻿Painting a Fence
Painting your Nails
Picking Flowers
Planting Flowers
Playing Frisbee
Plucking your Eyebrows
Pulling Taffy
Putting on Make Up
Putting up your Hair
Re-shelving Books
Rebinding a Book
Rolling a Joint
Scrapbooking
Setting up a Booby Trap
Sewing on a button
Sharpening Knives
Shelling Peas
Shining Shoes
Shooting Clay Pigeons
Swatting at a Fly
Sweeping
Taking out Dog Shit
Taking Pictures with an Actual Camera
Throwing a Ball
Typing a Book
Vacuuming
Washing Windows
Whittling
Writing a Letter
